"log_stars","Stars","Forks","Issues","Size","language","age_group","created_year","log_size"
5.12396397940326,167,70,5,10205,"C++","Old",2013,9.23073106162392
7.31455283232408,1501,122,10,106,"Objective-C","Old",2013,4.67282883446191
6.69208374250663,805,44,8,1182,"Python","New",2020,7.07580886397839
5.48063892334199,239,87,13,99,"C++","New",2019,4.60517018598809
5.9427993751267,380,20,6,4290,"JavaScript","Old",2013,8.36427508499152
5.71042701737487,301,71,89,893,"Shell","New",2019,6.79570577517351
5.59098698051086,267,161,3,1630,"Python","Old",2017,7.39694860262101
5.18738580584075,178,21,0,9915,"Kotlin","New",2019,9.20190489315508
5.91620206260743,370,83,6,582,"PHP","Old",2015,6.36818718635049
5.31811999384422,203,75,100,12566,"TypeScript","Old",2016,9.43882960961514
6.08221891037645,437,158,15,910,"JavaScript","Old",2012,6.81454289725996
5.27299955856375,194,25,1,289862,"Python","New",2020,12.577163676547
5.16478597392351,174,67,7,1875,"C#","Old",2018,7.53689712956617
5.92692602597041,374,69,24,190,"Python","New",2019,5.25227342804663
6.91373735065968,1005,129,23,446,"Ruby","Old",2012,6.10255859461357
5.15905529921453,173,21,0,1308,"Shell","New",2019,7.1770187659099
8.69533937679971,5974,428,9,788,"","Old",2014,6.67076632084587
5.44673737166631,231,59,5,58,"Shell","Old",2017,4.07753744390572
7.59337419312129,1984,417,4,4366,"PHP","New",2019,8.38183155348556
5.73657229747919,309,740,15,31984,"Lua","New",2021,10.3730223218842
6.9985096422506,1094,1321,15,7286,"JavaScript","New",2020,8.89384721767028
8.34948434699013,4227,255,308,65049,"Python","New",2019,11.0829114839407
5.73657229747919,309,38,11,101532,"Python","New",2020,11.5281391477756
5.4971682252932,243,149,0,53,"C","Old",2013,3.98898404656427
7.6314316645769,2061,700,121,149752,"Java","Old",2011,11.916742549166
5.59098698051086,267,62,5,396,"Go","Old",2018,5.98393628068719
5.23644196282995,187,24,0,268672,"","New",2019,12.5012503057438
6.86066367144829,953,289,7,261,"Python","Old",2017,5.5683445037611
5.86929691313377,353,51,1,25313,"Python","New",2021,10.1391128813524
5.92157841964382,372,107,11,231,"JavaScript","Old",2018,5.44673737166631
5.83773044716594,342,104,23,377,"Python","Old",2018,5.93489419561959
6.29526600143965,541,44,46,98,"Go","Old",2015,4.59511985013459
6.25190388316589,518,83,12,127,"Go","New",2022,4.85203026391962
6.39692965521615,599,848,0,18,"","Old",2016,2.94443897916644
5.4510384535657,232,34,17,847,"TypeScript","New",2020,6.7428806357919
5.57972982598622,264,47,1,26,"Go","New",2021,3.29583686600433
7.44541755670169,1711,918,6,5482,"","Old",2014,8.60940767540405
5.59471137960184,268,3,16,6471,"Vue","New",2022,8.77524045873833
7.98412195870293,2933,354,106,9659,"JavaScript","Old",2011,9.17574892720656
5.52146091786225,249,79,0,3442,"HTML","Old",2015,8.14409846333852
5.43372200355424,228,18,1,105457,"TypeScript","New",2021,11.5660680483683
5.59098698051086,267,236,18,10489,"PHP","Old",2009,9.25817770139034
6.22059017009974,502,130,23,247232,"C#","New",2019,12.4180864908016
6.29526600143965,541,57,27,29456,"C++","New",2022,10.2906868518374
6.98193467715639,1076,138,2,285,"","Old",2015,5.65599181081985
5.4380793089232,229,75,6,73804,"","New",2022,11.2091817589711
5.5683445037611,261,40,6,160760,"HTML","New",2022,11.9876740689966
5.45958551414416,234,57,7,176,"PHP","Old",2015,5.17614973257383
5.98645200528444,397,23,0,193,"PHP","New",2021,5.26785815906333
5.27299955856375,194,45,0,3,"Python","Old",2018,1.38629436111989
5.39362754635236,219,29,2,2303,"Python","Old",2017,7.74240202181578
5.37527840768417,215,22,17,10629,"JavaScript","Old",2012,9.27143547133599
7.06731984865348,1172,211,7,34,"","New",2020,3.55534806148941
5.73334127689775,308,75,202,25693,"C++","Old",2014,10.1540127805916
6.20050917404269,492,53,1,4740,"JavaScript","Old",2011,8.46400336290212
5.16478597392351,174,18,0,25104,"PHP","New",2020,10.1308223084688
5.12989871492307,168,16,6,94,"Python","Old",2016,4.55387689160054
6.88448665204278,976,57,5,939,"C#","New",2021,6.84587987526405
6.10255859461357,446,11,5,43868,"Python","New",2022,10.68896319928
5.75574221358691,315,46,7,300,"Python","Old",2013,5.70711026474888
6.86589107488344,958,20,96,14765,"Dart","New",2023,9.60008251961911
7.09090982207998,1200,307,22,1714,"C","Old",2014,7.44716835960004
5.75890177387728,316,261,23,294,"Python","Old",2012,5.68697535633982
7.35564110297425,1564,135,19,9403,"JavaScript","Old",2016,9.14889040965996
6.4150969591716,610,161,70,1112,"Go","Old",2018,7.01481435127554
6.90274273715859,994,90,18,9919,"Python","New",2019,9.20230820027892
6.95463886488099,1047,24,10,2431,"TypeScript","New",2020,7.79646924308606
5.34710753071747,209,55,4,29493,"","Old",2018,10.2919421318109
6.50727771238501,669,105,19,13132,"JavaScript","Old",2015,9.48288342558516
7.9707403900071,2894,415,4,16521,"Ruby","Old",2010,9.71244810512245
6.72503364216684,832,52,3,416,"TypeScript","Old",2011,6.0330862217988
5.4971682252932,243,10,21,4818,"JavaScript","New",2020,8.48032171664033
5.78689738136671,325,70,30,1842,"JavaScript","Old",2013,7.51914995766982
5.97888576490112,394,117,27,178,"Python","Old",2012,5.18738580584075
6.15485809401642,470,260,27,2949,"Jupyter Notebook","Old",2018,7.98956044933387
7.20117088328168,1340,91,1,6590,"JavaScript","Old",2018,8.79346036105272
5.62040086571715,275,32,12,144714,"C++","New",2020,11.8825215699975
6.79346613258001,891,66,0,1622,"TypeScript","New",2021,7.39203156751459
7.27793857294566,1447,111,133,221879,"Java","Old",2018,12.3098919741692
5.37989735354046,216,88,5,185,"Kotlin","New",2019,5.2257466737132
5.17614973257383,176,14,4,354,"PHP","Old",2017,5.87211778947542
5.58724865840025,266,41,16,766,"Rust","Old",2016,6.64248680136726
5.50125821054473,244,87,36,3888,"TypeScript","Old",2017,8.26590733415575
5.14166355650266,170,234,140,137,"C++","Old",2017,4.9272536851572
6.89060912014717,982,323,2,403,"JavaScript","New",2019,6.00141487796115
8.63194942871443,5607,367,148,167108,"TypeScript","Old",2017,12.0264015730972
6.60800062529609,740,206,19,8727,"JavaScript","Old",2015,9.07429152751291
5.3082676974012,201,56,13,70,"Java","New",2022,4.26267987704132
6.36990098282823,583,88,12,3463,"C++","Old",2017,8.15017926968233
5.31320597904179,202,19,12,612,"Rust","Old",2016,6.41836493593621
6.46614472423762,642,74,35,6785,"JavaScript","Old",2015,8.82261694534418
6.80128303447162,898,202,58,12354,"Python","New",2019,9.42181611842271
7.24779258176785,1404,165,43,1690,"TypeScript","Old",2018,7.43307534889858
6.46769872610435,643,279,2,11773,"HTML","Old",2017,9.37364898958821
7.22256601882217,1369,329,20,133591,"Python","New",2019,11.8025456580523
6.41836493593621,612,126,29,13415,"Python","New",2020,9.50420330350305
6.24610676548156,515,87,0,2143,"TypeScript","Old",2016,7.67042852219069
5.28826703069454,197,104,18,11200,"JavaScript","Old",2016,9.32375833901174
7.70571282389443,2220,364,125,6591,"Java","New",2019,8.79361207158931
6.83947643822884,933,199,4,38991,"Python","New",2020,10.571111775865
5.22035582507832,184,55,9,22,"C#","Old",2016,3.13549421592915
9.42359519054002,12376,4918,314,129300,"Ruby","Old",2008,11.7698982986821
6.56807791141198,711,135,26,3697,"JavaScript","New",2021,8.21554741194707
6.66440902035041,783,162,51,75743,"Java","New",2020,11.2351145123137
7.22183582528845,1368,183,6,29209,"C++","New",2020,10.2822663953818
6.49828214947643,663,215,17,8637,"CSS","Old",2018,9.06392635352065
8.49699048409872,4899,463,1,3855,"JavaScript","Old",2018,8.25738565573044
6.25766758788264,521,164,13,10565,"","Old",2018,9.26539657772426
6.13339804299665,460,48,3,17419,"Swift","Old",2017,9.76537425040649
7.44949800538285,1718,187,34,310,"Ruby","Old",2013,5.73979291217923
5.16478597392351,174,73,37,6835,"JavaScript","Old",2015,8.82995804423548
7.37650812632622,1597,84,21,24043,"TypeScript","New",2023,10.0876407641591
5.29831736654804,199,65,11,583,"C#","Old",2015,6.36990098282823
6.28599809450886,536,222,71,15677,"C#","Old",2010,9.66001373474867
7.66669020008009,2135,473,24,19708,"C#","Old",2018,9.8888306631925
6.45833828334479,637,50,121,3872,"JavaScript","New",2019,8.26178467951475
5.52942908751142,251,64,84,9284,"Java","Old",2011,9.13615547378681
6.51323011091231,673,115,38,498,"PHP","Old",2016,6.21260609575152
5.14749447681345,171,1,0,34,"Java","Old",2017,3.55534806148941
6.50578406012823,668,187,0,396202,"","Old",2016,12.8896819851513
6.75809450442773,860,81,31,36504,"JavaScript","Old",2017,10.5052045164902
5.84932477994686,346,96,2,284,"","Old",2015,5.65248918026865
5.75890177387728,316,90,21,222,"Ruby","Old",2010,5.40717177146012
5.14749447681345,171,26,4,1052,"Python","Old",2018,6.95939851213398
5.31811999384422,203,26,15,12751,"Java","New",2019,9.45344340103
7.90285719128058,2704,688,1402,35817,"TypeScript","Old",2015,10.4862058393267
5.65248918026865,284,71,7,17171,"Java","Old",2013,9.75103542934445
5.63478960316925,279,29,0,377,"Swift","New",2019,5.93489419561959
5.41610040220442,224,15,10,993,"Swift","Old",2017,6.90173720665657
6.39024066706535,595,43,20,315,"Lua","New",2020,5.75574221358691
5.90808293816893,367,43,17,12172,"Shell","New",2019,9.4069756634096
5.15329159449778,172,36,11,1591,"Ruby","Old",2009,7.37274636640433
5.38449506278909,217,68,3,290,"JavaScript","Old",2011,5.67332326717149
7.6251071482389,2048,367,10,1652,"Python","Old",2016,7.41034709782102
6.96696713861398,1060,98,59,18053,"Swift","Old",2016,9.8011225458581
6.62936325343745,756,528,205,241014,"HTML","Old",2016,12.3926144511998
5.42053499927229,225,29,8,1794,"Go","New",2019,7.49276030092238
5.71042701737487,301,58,29,1909,"HTML","Old",2018,7.55485852104068
5.95324333428778,384,0,1,2959,"C#","New",2023,7.99294454731811
6.04263283368238,420,40,5,30512,"TypeScript","New",2019,10.3259081012937
6.31535800152233,552,58,0,4768,"Jupyter Notebook","New",2022,8.46989191829822
5.41164605185504,223,29,1,55,"Rust","Old",2018,4.02535169073515
6.31173480915291,550,409,0,119,"Shell","Old",2013,4.78749174278205
6.83195356556585,926,83,16,6925,"Swift","Old",2017,8.84303772496237
6.3279367837292,559,143,32,423,"C++","Old",2015,6.04973345523196
5.91079664404053,368,51,5,42,"Python","New",2022,3.76120011569356
6.1527326947041,469,78,5,293,"Kotlin","Old",2016,5.68357976733868
5.20948615284142,182,52,6,3671,"C++","Old",2018,8.20849175174038
8.45914025996762,4717,695,9,25392,"","New",2020,10.1422288244734
